职位,经验,学历要求,薪酬,所在城市,所在区,工作类型1,工作类型2,公司简称,公司全称,公司规模,行业,福利优势,发布时间,职位TAG,公司TAG
Python工程师,3-5年,本科,15k-23k,北京,海淀区,开发/测试/运维类,后端开发,开拓天际,北京开拓天际科技有限公司,50-150人,"数据服务,信息安全","领导好,福利好,团队优秀",2018-04-03 09:36:56, django, 年底双薪 股票期权 年终分红 节日礼物
高级Python工程师,3-5年,本科,25k-35k,北京,海淀区,开发/测试/运维类,后端开发,tataUFO,北京朗势科技有限公司,50-150人,"移动互联网,社交网络","8天年假,五险一金,扁平化管理,年终奖",2018-04-03 12:19:13,, 股票期权 五险一金 带薪年假 节日礼物
Python开发工程师,3-5年,本科,10k-20k,西安,雁塔区,开发/测试/运维类,后端开发,BOO!,西安逆袭网络科技有限公司,50-150人,"移动互联网,社交网络","弹性工作,扁平管理,五险一金,健身福利",2018-04-02 17:51:31, MySQL 数据库, 扁平化管理 弹性工作制 健身福利 设备补助
Python研发工程师,1-3年,本科,5k-10k,北京,海淀区,技术,后端开发,江山如画网络科技,北京江山如画网路科技有限责任公司,少于15人,"移动互联网,社交网络",管吃管住、顶级投资、原始股权奖励,2018-04-01 18:40:44,, 专项奖金 股票期权 绩效奖金 岗位晋升
Python软件工程师,1-3年,大专,6k-8k,宁波,镇海区,开发/测试/运维类,后端开发,宁波清车电气有限公司,宁波清车电气有限公司,15-50人,电子商务,"五险一金,做五休二,带薪年假,年底双薪",2018-03-29 16:24:39, MySQL django, 技能培训 年底双薪 带薪年假 岗位晋升
Python开发工程师,3-5年,本科,10k-20k,广州,天河区,开发/测试/运维类,软件开发,上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,"企业服务,金融","外企环境,周末双休法,氛围nic",2018-04-02 17:38:06, 高级 中级 软件开发, 年底双薪 绩效奖金 带薪年假 定期体检
python工程师,3-5年,大专,8k-10k,武汉,东湖新技术开发区,开发/测试/运维类,软件开发,北蚁,武汉北蚁网络科技有限公司,50-150人,"电子商务,移动互联网","五险一金,员工旅游,休闲餐点,扁平管理",2018-03-29 18:01:38, 信息安全 电商 linux MySQL 架构, 年底双薪 绩效奖金 休闲餐点 五险一金
python,3-5年,本科,8k-15k,上海,浦东新区,开发/测试/运维类,后端开发,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,"移动互联网,金融","五险一金,旅游、体检,过节福利,生日礼金",2018-04-03 10:32:52,,
python工程师,3-5年,本科,15k-25k,北京,东城区,技术,后端开发,家园网,金色家园网络科技有限公司,2000人以上,O2O,绩效奖金 股票期权 14薪,2018-04-02 11:04:34,, 节日礼物 带薪年假 绩效奖金 管理规范
Python 开发工程师,1-3年,本科,8k-12k,武汉,东湖新技术开发区,开发/测试/运维类,后端开发,深瞐科技,北京深瞐科技有限公司,50-150人,信息安全、数据服务,五险一金 定期体检 各种补助,2018-04-02 10:02:03, php Java, 技能培训 岗位晋升 管理规范 定期体检
Python开发工程师,3-5年,本科,25k-50k,上海,杨浦区,开发/测试/运维类,后端开发,TravelFlan上海,深圳市前海自乐游旅游科技有限公司,50-150人,"移动互联网,旅游","风口行业,氛围好,发展快,回报高",2018-04-01 15:31:01, 旅游 大数据 Java, 领导好 扁平管理 AI 人工智能
Python工程师,3-5年,本科,8k-15k,厦门,思明区,开发/测试/运维类,后端开发,笨鸟社交,厦门笨鸟电子商务有限公司,150-500人,企业服务,"高新企业,牛人多,扁平化,五险一金",2018-04-02 18:32:59, 云计算 php Java, 高新企业 扁平管理 五险一金 股票期权
Python开发工程师,3-5年,本科,10k-20k,成都,武侯区,开发/测试/运维类,后端开发,顺网科技,杭州顺网科技股份有限公司,500-2000人,"游戏,文化娱乐","上市公司,大数据,大平台,福利健全",2018-04-02 09:34:43, 游戏 直播 中级 Java 后端, 技能培训 节日礼物 年度旅游 岗位晋升
Python开发工程师,3-5年,本科,18k-28k,上海,杨浦区,技术,后端开发,华云数据,无锡华云数据技术服务有限公司,500-2000人,"移动互联网,数据服务",绩效奖金 年终奖金 交通补贴 餐饮补贴,2018-04-03 09:13:04, 云计算 Java Ruby golang, 节日礼物 带薪年假 岗位晋升 扁平管理
python开发工程师(东莞),1-3年,大专,5k-8k,东莞,东莞市市辖区,开发/测试/运维类,后端开发,泽林信息,深圳市泽林信息咨询有限公司,500-2000人,教育,"五险一金,弹性工作,办公环境好,年底双薪",2018-04-03 09:07:22, 云计算 Java, 节日礼物 技能培训 绩效奖金 年度旅游
Python开发工程师,3-5年,本科,18k-35k,北京,朝阳区,开发/测试/运维类,后端开发,猎户星空,北京猎户星空科技有限公司,150-500人,"移动互联网,硬件",牛人云集，优质福利,2018-04-02 18:38:43, 智能硬件 php Java 后端, 年度旅游 弹性工作 领导好 五险一金
Python开发工程师,3-5年,本科,30k-50k,北京,朝阳区,开发/测试/运维类,后端开发,摩尔妈妈,北京摩尔妈咪网络科技有限公司,15-50人,移动互联网,"高薪,氛围轻松,成长空间大,背景好",2018-04-02 11:56:40, 教育 资深 高级 全栈 php, 年底双薪 股票期权 定期体检 带薪年假
python开发工程师,3-5年,本科,15k-30k,深圳,南山区,开发/测试/运维类,后端开发,Bello,深圳呗佬智能有限公司,15-50人,移动互联网,"硅谷技术,AI领域",2018-04-03 11:09:41, 云计算 大数据 Java,
Python开发工程师,1-3年,本科,20k-35k,北京,海淀区,技术,后端开发,合心科技,北京启明合心科技有限公司,15-50人,"移动互联网,教育","大数据处理,自由度大,有挑战,公司午晚餐",2018-04-02 10:39:20, 大数据 后端, 扁平管理 最优秀的伙伴 弹性工作 公司午晚餐
Python工程师,3-5年,本科,25k-50k,深圳,南山区,开发/测试/运维类,后端开发,前海企保,前海企保科技（深圳）有限公司,15-50人,"金融,企业服务","薪酬高,福利好,美女多",2018-04-03 17:40:07, Java 机器学习 自然语言处理, 弹性工作 帅哥多 美女多 领导好
python开发工程师,不限,本科,10k-20k,深圳,南山区,开发/测试/运维类,后端开发,深信服科技集团,深信服科技股份有限公司,2000人以上,"信息安全,企业服务","平台大,福利好,薪资高",2018-04-03 09:04:17, 信息安全 django, 三餐全包 大牛超多 年终奖超多 大公司，稳定
Python开发工程师,3-5年,本科,20k-40k,北京,海淀区,开发/测试/运维类,后端开发,智融集团,北京智融时代科技有限公司,150-500人,金融,"文化开放,弹性不打卡,发展快速,上升空间",2018-04-02 17:03:34, 安全 Java CRM, 股票期权 绩效奖金 五险一金 带薪年假
Python软件开发,1-3年,本科,10k-15k,杭州,江干区,技术,后端开发,健培,杭州健培科技有限公司,150-500人,"移动互联网,医疗健康",高薪、五险一金、氛围好,2018-04-02 15:00:53,, 技能培训 带薪年假 岗位晋升 年度旅游
Python工程师,3-5年,本科,15k-25k,北京,海淀区,开发/测试/运维类,后端开发,新东方教育行业研究院,北京点石经纬科技有限公司,150-500人,"移动互联网,教育","大牛多,平台好,待遇好,流程规范",2018-04-02 09:59:59, tornado flask, 五险一金 带薪年假 节日礼物 年度旅游
python开发工程师,1-3年,本科,8k-16k,北京,海淀区,开发/测试/运维类,后端开发,江山如画网络科技,北京江山如画网路科技有限责任公司,少于15人,"移动互联网,社交网络","提供住宿,一日三餐,晋升空间,紫牛基金投",2018-04-01 18:40:44, 云计算 web 服务器端 php MySQL, 专项奖金 股票期权 绩效奖金 岗位晋升
Python工程师,1-3年,本科,15k-25k,上海,黄浦区,开发/测试/运维类,后端开发,谷露软件,上海谷露软件有限公司,50-150人,"数据服务,招聘","工程师文化,大牛,高薪",2018-04-03 14:58:30, php Java, 团队融洽 股票期权 扁平管理 帅哥多
资深 Python 开发工程师,3-5年,本科,25k-45k,北京,海淀区,开发/测试/运维类,后端开发,知乎,北京智者天下科技有限公司,500-2000人,"移动互联网,社交网络","弹性工作,自助三餐,年终奖金",2018-04-03 11:05:24, 高级 中级 初级 服务器端, 年底双薪 股票期权 带薪年假 定期体检
python工程师,3-5年,本科,15k-30k,武汉,洪山区,开发/测试/运维类,后端开发,力太科技,浙江力太科技有限公司,150-500人,"移动互联网,其他","六险一金,带薪年假,股票期权,周末双休",2018-04-03 10:44:20, Java C/C++, 年底双薪 股票期权 专项奖金 带薪年假
python工程师,3-5年,本科,15k-20k,北京,朝阳区,开发/测试/运维类,后端开发,好巧,北京好巧国际旅行社有限公司,150-500人,数据服务,"带薪年假,五险一金,弹性工作,股票期权",2018-04-02 09:32:02,, 五险一金 弹性工作 扁平管理 百万医疗
Python开发工程师(193),不限,不限,15k-30k,上海,徐汇区,开发/测试/运维类,后端开发,助理来也,北京来也网络科技有限公司,50-150人,移动互联网,"pytho,技术驱动",2018-04-02 18:17:09, 后端开发, 绩效奖金 扁平管理 领导好 五险一金
Python工程师,1-3年,本科,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,摩尔妈妈,北京摩尔妈咪网络科技有限公司,15-50人,移动互联网,"氛围轻松,成长空间大,有成就感",2018-04-02 11:56:41, 教育 资深 高级 中级 php, 年底双薪 股票期权 定期体检 带薪年假
Python,3-5年,本科,20k-40k,北京,海淀区,技术,后端开发,春雨移动健康,北京春雨天下软件有限公司,150-500人,移动互联网,有挑战，自主加薪，技术氛围好,2018-04-02 10:25:37, Java redis 移动医疗 微服务 服务器研发, 绩效奖金 五险一金 带薪年假 定期体检
Python研发工程师,1-3年,本科,15k-23k,杭州,拱墅区,开发/测试/运维类,后端开发,酷家乐,杭州群核信息技术有限公司,500-2000人,移动互联网,期权激励、年度旅游、年终丰厚、零食水果,2018-03-29 10:42:20, 后端开发 Java 系统开发 golang, 两次加薪 弹性工作 期权丰厚 两次晋升
Python开发工程师,1-3年,本科,15K-25K,北京,朝阳区,开发/测试/运维类,后端开发,好雨云,北京好雨科技有限公司,15-50人,"企业服务,移动互联网",五险一金，弹性工作，提供零食，发展空间大,2018-04-03 16:34:45,, 绩效奖金 股票期权 扁平管理 高速成长
python开发工程师,3-5年,本科,8k-16k,北京,朝阳区,开发/测试/运维类,后端开发,云势软件,云势天下（北京）软件有限公司,50-150人,企业服务,"扁平化管理,带薪年假,年终奖励",2018-04-03 14:48:06, 医疗健康 Java, 年底双薪 专项奖金 绩效奖金 带薪年假
Python开发工程师,1-3年,本科,10k-18k,上海,静安区,开发/测试/运维类,后端开发,职晓,上海创远教育科技有限公司,50-150人,教育,"带薪年假,奖金,五险一金,不加班",2018-04-03 14:03:54,, 周末双休 不加班 年终奖 一年多次加薪
Python开发工程师,5-10年,本科,10k-15k,成都,武侯区,开发/测试/运维类,后端开发,成都之维安科技股份有限公司,成都之维安科技股份有限公司,150-500人,"移动互联网,电子商务","B2B,环保领域,氛围好",2018-04-03 09:45:36,, 年底双薪 股票期权 年终分红 绩效奖金
Python研发工程师,1-3年,本科,12k-24k,深圳,南山区,开发/测试/运维类,后端开发,深圳源伞科技,深圳市前海源伞科技有限公司,15-50人,"其他,信息安全","玩转开源,系统达人",2018-04-03 14:23:49, 云计算 C/C++ 自动化 linux C++, 绩效奖金 午餐补助 股票期权 工程师文化
Python开发工程师,不限,不限,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,罗辑思维,北京思维造物信息科技有限公司,150-500人,"移动互联网,文化娱乐","六险一金,大咖云集",2018-04-02 10:20:41,, 专项奖金 扁平管理 帅哥多 领导好
Python 工程师,1-3年,本科,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,况客科技,况客科技(北京)有限公司,15-50人,金融,"技术培养,能力提升,培养计划,福利好",2018-04-03 17:28:48, 后端开发 Node.js, 定期体检 午餐补助 带薪年假 绩效奖金
Python开发,3-5年,本科,20k-30k,深圳,南山区,开发/测试/运维类,后端开发,顺丰科技有限公司,顺丰科技有限公司,500-2000人,"移动互联网,电子商务","开发,能力论英雄",2018-04-02 18:01:20, 云计算 linux, 技能培训 节日礼物 带薪年假 岗位晋升
python开发工程师,1-3年,不限,6k-10k,杭州,江干区,开发/测试/运维类,后端开发,健培,杭州健培科技有限公司,150-500人,"移动互联网,医疗健康","双休,五险,工作8小时,法定节假日",2018-04-02 15:00:53, Java, 技能培训 带薪年假 岗位晋升 年度旅游
python工程师,1年以下,大专,6k-12k,大连,中山区,开发/测试/运维类,后端开发,推想科技,北京推想科技有限公司,50-150人,"医疗健康,数据服务","人工智能,快速成长,弹性工作,年终奖丰厚",2018-03-30 16:32:08, 医疗健康 数据库 运维 实施, 午餐补助 股票期权 定期体检 弹性工作
python工程师,不限,不限,10k-15k,贵阳,观山湖区（金阳新区）,开发/测试/运维类,后端开发,贵州电商云,贵州电子商务云运营有限责任公司,50-150人,"电子商务,数据服务","五险一金,餐补",2018-04-03 14:24:32, js Java, 交通补助 带薪年假 绩效奖金 通讯津贴
Python开发工程师,3-5年,本科,20k-40k,上海,杨浦区,开发/测试/运维类,软件开发,DAOCLOUD,上海道客网络科技有限公司,150-500人,"企业服务,数据服务","15天年假,5天病假,年终多薪,公司前景",2018-04-03 10:30:34, 云计算 软件开发 Java, 工程师文化 业界大牛 改变世界 豪华团队
Python开发工程师,1-3年,本科,20k-40k,北京,朝阳区,开发/测试/运维类,后端开发,摩尔妈妈,北京摩尔妈咪网络科技有限公司,15-50人,移动互联网,"高薪,氛围轻松,环境优越",2018-04-02 11:56:41, 教育 php Java, 年底双薪 股票期权 定期体检 带薪年假
Python开发工程师,1-3年,本科,15k-30k,上海,杨浦区,开发/测试/运维类,后端开发,哔哩哔哩,上海幻电信息科技有限公司,2000人以上,"移动互联网,文化娱乐","氛围好,发展快,领导好,空间大",2018-04-03 17:11:01, 云计算 中级, 带薪年假 绩效奖金 交通补助 午餐补助
Python开发工程师,1-3年,本科,8k-12k,西安,高新技术产业开发区,开发/测试/运维类,软件开发,远诚物流,西安远诚物流有限公司,2000人以上,移动互联网,"核心网项目,稳定",2018-04-03 15:14:07, 软件开发 php Java,
高级Python研发工程师,1-3年,本科,15k-25k,北京,东城区,开发/测试/运维类,后端开发,妙计旅行,北京汇行科技有限公司,150-500人,旅游,"免费三餐,福利待遇好,氛围活跃",2018-04-03 16:54:20, 爬虫 大数据 Java 算法, 股票期权 十四薪 零食饮料水果 团队氛围好
python开发工程师,1-3年,不限,6k-12k,济南,高新区,开发/测试/运维类,后端开发,济南四叶草,济南四叶草信息技术有限公司,少于15人,移动互联网,"带薪年假,弹性工作",2018-04-03 16:36:57, django postgre," """""
资深python开发工程师,3-5年,本科,25k-35k,上海,杨浦区,开发/测试/运维类,后端开发,1Token.Trade,上海墨沐金融信息服务有限公司,15-50人,"移动互联网,金融","时间自由,技术先进,区块链,一年多薪",2018-04-03 10:23:57, 金融 php Java 分布式, 不差钱 经纬中国 核心竞争力 弹性工作
Python开发工程师,3-5年,大专,10k-20k,杭州,西湖区,开发/测试/运维类,后端开发,天使镭,苏州天使镭网络科技有限公司,15-50人,其他,"高薪,自由,前景好,空间大",2018-04-03 10:02:47, Java MySQL 架构," """""
高级Python开发工程师,3-5年,本科,15k-22k,上海,黄浦区,开发/测试/运维类,后端开发,华尔街见闻,上海阿牛信息科技有限公司,150-500人,"金融,移动互联网",五险一金,2018-04-02 12:42:46, Java 爬虫, 技能培训 节日礼物 岗位晋升 年度旅游
Python 开发工程师,1-3年,本科,8k-15k,武汉,东湖新技术开发区,开发/测试/运维类,测试,深瞐科技,北京深瞐科技有限公司,50-150人,信息安全、数据服务,五险一金，带薪年假，补贴,2018-04-02 10:02:05, MySQL python/perl/ru, 技能培训 岗位晋升 管理规范 定期体检
python软件开发工程师,1年以下,大专,4k-6k,南京,江宁区,开发/测试/运维类,软件开发,南京枫溢软科,南京枫溢软件科技有限公司,少于15人,"企业服务,信息安全","高薪,环境好,成长快",2018-04-03 14:03:55, 云计算 初级 linux,
Python高级开发工程师,3-5年,本科,20k-30k,北京,海淀区,开发/测试/运维类,后端开发,微车,北京步鼎方舟科技有限公司,150-500人,"移动互联网,O2O",一日三餐、带薪年假、弹性工作、六险一金,2018-04-03 13:18:59,,
Python,1-3年,本科,15k-30k,北京,东城区,开发/测试/运维类,后端开发,省钱快报,北京九州云动科技有限公司,50-150人,"移动互联网,电子商务",海量数据、氛围轻松、项目奖金,2018-04-03 11:23:12, 高级 数据分析 Java, 技能培训 专项奖金 带薪年假 绩效奖金
Python研发工程师,1-3年,大专,7k-10k,上海,浦东新区,开发/测试/运维类,后端开发,豌豆科技,上海豌豆信息技术有限公司,少于15人,"O2O,教育","福利待遇好,发展快,平台好",2018-04-03 11:10:16, 信息安全 教育 php Java, 年底双薪 节日礼物 技能培训 岗位晋升
python 开发工程师,1-3年,本科,10k-20k,上海,杨浦区,开发/测试/运维类,后端开发,1Token.Trade,上海墨沐金融信息服务有限公司,15-50人,"移动互联网,金融","时间自由,技术先进,区块链",2018-04-03 10:23:57, 金融 php Java 分布式, 不差钱 经纬中国 核心竞争力 弹性工作
python工程师,3-5年,本科,12k-20k,上海,浦东新区,开发/测试/运维类,后端开发,上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,"企业服务,金融","交通补贴,技术大牛多,大数据项目",2018-04-03 10:09:33, 大数据, 年底双薪 绩效奖金 带薪年假 定期体检
Python开发工程师,1-3年,本科,15k-25k,上海,徐汇区,开发/测试/运维类,后端开发,信用飞/首付游,上海晓途网络科技有限公司,50-150人,移动互联网,"年轻团队,扁平管理,弹性工作,简单透明",2018-04-03 10:05:10, 金融 数据库开发, 节日礼物 带薪年假 岗位晋升 年度旅游
Python高级开发工程师,3-5年,本科,15k-25k,南京,江宁区,技术,后端开发,ivtime,北京爱唯光石信息技术有限公司,15-50人,"移动互联网,企业服务",弹性工作无需打卡、氛围好福利好，学习机会,2018-04-03 09:54:33, 后端, 年底双薪 股票期权 专项奖金 人性化管理
Python开发工程师,3-5年,本科,25k-30k,北京,朝阳区,技术,后端开发,钱方好近,北京钱方银通科技有限公司,150-500人,金融,六险一金，带薪年假，年度体检，自由氛围。,2018-04-03 15:16:27,, 节日礼物 带薪年假 绩效奖金 年度旅游
Python开发工程师,1-3年,本科,15k-30k,深圳,南山区,开发/测试/运维类,后端开发,Shopee,深圳虾皮信息科技有限公司,2000人以上,电子商务,东南亚跨境电商平台、福利棒、美女多,2018-04-03 09:58:09, 后端开发 全栈 MySQL, 定期体检 通讯津贴 带薪年假 绩效奖金
Python 开发工程师,3-5年,本科,10k-20k,广州,天河区,开发/测试/运维类,后端开发,广州丰申网络科技有限公司,广州市丰申网络科技有限公司,50-150人,"移动互联网,电子商务","福利多多,周末双休,五险一金,管理规范",2018-04-02 19:48:05, 广告营销 资深 高级 Java 爬虫, 超长春节假期 杠杠滴13薪 健身房不要钱 地铁公交狠近
Python开发工程师,1-3年,本科,15k-30k,北京,海淀区,开发/测试/运维类,后端开发,助理来也,北京来也网络科技有限公司,50-150人,移动互联网,"人工智能,弹性工作,扁平管理,技术牛人",2018-04-02 18:17:09, 后端开发 服务器端, 绩效奖金 扁平管理 领导好 五险一金
python中级开发工程师,1-3年,大专,6k-10k,长沙,天心区,开发/测试/运维类,后端开发,楼盘网,湖南创业工场网络科技有限公司,150-500人,"移动互联网,电子商务","互联网行业,朝九晚五,2次加薪,五险",2018-04-03 16:27:24, 云计算 Java 爬虫,
Python,1-3年,不限,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,洋葱数学,光合新知（北京）科技有限公司,150-500人,"移动互联网,教育","年假15天,免费早午餐,技术氛围好,弹性不打卡",2018-04-03 14:59:55, 中级 全栈 php Java, 产品领先行业 关注学习本源 明星跨界团队 股票期权
Python开发工程师,1-3年,本科,8k-10k,深圳,南山区,开发/测试/运维类,后端开发,达观数据,达而观信息科技（上海）有限公司,50-150人,移动互联网,"六险一金,12天年假,专业培训,技术提升",2018-04-03 10:00:50, C/C++ linux Shell Java, 股票期权 扁平管理 大牛团队 弹性工作
python,5-10年,本科,20k-30k,北京,朝阳区,开发/测试/运维类,后端开发,思源科技,北京思源置地投资有限公司,2000人以上,"移动互联网,社交网络","云,大数据,AI",2018-04-02 19:24:42, 云计算 信息安全 高级 大数据 OpenStack, 股票期权 带薪年假 绩效奖金 岗位晋升
Python开发,3-5年,本科,12k-24k,上海,徐汇区,开发/测试/运维类,后端开发,问卷网@爱调研,上海众言网络科技有限公司,150-500人,移动互联网,"五险一金,季度旅游,生日会,带薪年假",2018-04-02 14:38:14, 后端开发 Java redis, 技能培训 节日礼物 年底双薪 绩效奖金
python开发工程师,3-5年,大专,8k-15k,广州,天河区,开发/测试/运维类,后端开发,广州楠天,广州楠天网络科技有限公司,15-50人,移动互联网,"五险一金,带薪年假,绩效奖金,团队氛围好",2018-04-02 11:56:28, 信息安全 php C++ Java,
Python 开发工程师,1-3年,本科,15k-20k,杭州,西湖区,开发/测试/运维类,后端开发,Club Factory,杭州嘉云数据科技有限公司,150-500人,"电子商务,移动互联网","高并发,高流量,技术成长快,世界级产品",2018-04-02 09:52:37,, 海量大数据 世界级产品 AI 智能供应链
Python开发工程师,1-3年,本科,15k-30k,上海,徐汇区,开发/测试/运维类,后端开发,助理来也,北京来也网络科技有限公司,50-150人,移动互联网,"发展空间,大牛交流,五险一金,福利补贴",2018-04-03 15:41:55, node.js redis, 绩效奖金 扁平管理 领导好 五险一金
Python工程师,3-5年,本科,15k-30k,北京,海淀区,开发/测试/运维类,后端开发,爱咔咔,北京爱咔咔信息技术有限公司,15-50人,"移动互联网,O2O","北大团队,五百强大牛,期权奖励,专业培训",2018-04-02 09:34:33, C++ Java c#, 年底双薪 技术控 股票期权 带薪年假
python工程师,3-5年,本科,12k-24k,上海,浦东新区,开发/测试/运维类,数据开发,拍拍贷,上海拍拍贷金融信息服务有限公司,2000人以上,金融,晋升空间大、福利好,2018-03-29 16:48:22, 高级, 绩效奖金 五险一金 带薪年假 午餐补助
Python开发工程师,3-5年,本科,15k-25k,北京,,开发/测试/运维类,后端开发,原子钟,北京原子钟信息科技有限公司,少于15人,移动互联网,"14薪,带薪年假,节日福利,机会多",2018-04-03 17:48:27,, 年底双薪 股票期权 老板nice 氛围好
Python高级开发工程师,1-3年,本科,15k-25k,北京,东城区,开发/测试/运维类,后端开发,妙计旅行,北京汇行科技有限公司,150-500人,旅游,"福利待遇好,气氛活跃,免费三餐",2018-04-03 16:46:21, 大数据 Java 算法 爬虫, 股票期权 十四薪 零食饮料水果 团队氛围好
Python开发,3-5年,本科,20k-30k,北京,朝阳区,开发/测试/运维类,后端开发,钱方好近,北京钱方银通科技有限公司,150-500人,金融,"试用期全薪,餐补,六险一金,年终奖",2018-04-03 15:16:27, node.js php Java web, 节日礼物 带薪年假 绩效奖金 年度旅游
高级Python开发工程师,3-5年,本科,25k-45k,北京,海淀区,开发/测试/运维类,后端开发,NewsJet,北京智分科技有限公司,50-150人,移动互联网,"Geek范,清华系,福利待遇好,股票期权",2018-04-03 13:40:31, 资深 后端开发 服务器端, 年底双薪 免费两餐 Geek范 免费健身
python开发工程师,3-5年,大专,10k-20k,深圳,福田区,开发/测试/运维类,后端开发,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,"移动互联网,金融","双休,过节费,年度体检,旅游",2018-04-03 10:29:48, linux node.js Java,
高级Python开发工程师,3-5年,本科,25k-45k,北京,海淀区,开发/测试/运维类,后端开发,智融集团,北京智融时代科技有限公司,150-500人,金融,"优秀团队,科技金融,六险一金,工作居住证",2018-04-02 18:52:08, 金融 系统架构 后端研发, 股票期权 绩效奖金 五险一金 带薪年假
Python开发,1-3年,本科,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,罗辑思维,北京思维造物信息科技有限公司,150-500人,"移动互联网,文化娱乐","六险一金,年度体检,弹性工作,大咖云集",2018-04-02 10:20:40, php Java web, 专项奖金 扁平管理 帅哥多 领导好
Python开发工程师,5-10年,本科,15k-30k,上海,浦东新区,开发/测试/运维类,后端开发,趣头条,上海基分文化传播有限公司,500-2000人,移动互联网,发展空间,2018-04-03 15:26:12, 高级 中级 爬虫, 专项奖金 带薪年假 弹性工作 管理规范
Python工程师-金融事业部,1-3年,本科,10k-20k,北京,海淀区,开发/测试/运维类,后端开发,普林科技,北京至信普林科技有限公司,50-150人,数据服务,平台好，发展空间大,2018-04-03 09:23:17, 金融 大数据 Java, 技能培训 带薪年假 绩效奖金 岗位晋升
python开发工程师,3-5年,本科,15k-25k,北京,朝阳区,开发/测试/运维类,后端开发,途游,在线途游（北京）科技有限公司,150-500人,"移动互联网,游戏","施展空间大,季度奖,年终奖",2018-04-02 18:22:28, 云计算 高级 运维, 股票期权 专项奖金 五险一金 带薪年假
Python（极验验证）,3-5年,不限,9k-18k,武汉,东湖新技术开发区,技术,后端开发,极验,武汉极意网络科技有限公司,50-150人,"信息安全,数据服务",双休+弹性工作制+五险一金+餐补,2018-04-03 17:15:50, 信息安全 工具软件 php Java, 股票期权 绩效奖金 交通补助 带薪年假
系统开发工程师（Python）,5-10年,本科,20k-30k,北京,海淀区,开发/测试/运维类,后端开发,学堂在线,北京慕华信息科技有限公司,150-500人,"移动互联网,教育","五险一金,餐补,生日会,优秀团队",2018-04-03 14:03:05, 资深 高级, 节日礼物 股票期权 带薪年假 氛围轻松
python工程师,3-5年,本科,12k-24k,上海,浦东新区,开发/测试/运维类,数据开发,拍拍贷,上海拍拍贷金融信息服务有限公司,2000人以上,金融,晋升空间大、福利好,2018-03-29 16:48:22, 高级, 绩效奖金 五险一金 带薪年假 午餐补助
python开发工程师,1-3年,本科,8k-15k,上海,徐汇区,开发/测试/运维类,数据开发,上海抱元网络科技有限公司,上海抱元网络科技有限公司,50-150人,"移动互联网,数据服务","弹性工作,年终奖金,绩效奖金,团队氛围好",2018-04-02 20:32:03, 数据分析 数据挖掘 大数据 Java, 专项奖金 绩效奖金 弹性工作 扁平管理
Linux C++/Python开发工程师,3-5年,大专,15k-20k,北京,朝阳区,开发/测试/运维类,后端开发,好巧,北京好巧国际旅行社有限公司,150-500人,数据服务,"双休,高速发展,扁平管理,五险一金",2018-04-02 09:32:00, 后端开发, 五险一金 弹性工作 扁平管理 百万医疗
Python开发工程师,3-5年,本科,20k-30k,北京,朝阳区,开发/测试/运维类,后端开发,奇虎360金融,上海淇毓信息科技有限公司,500-2000人,"移动互联网,金融",核心业务，角色重要，成长空间大,2018-03-27 18:15:56, 高级 中级, 年底双薪 股票期权 带薪年假 定期体检
Python开发工程师,1-3年,大专,9k-14k,杭州,余杭区,开发/测试/运维类,后端开发,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,移动互联网,"纯纯技术团,魅力领导,带薪年假,周末双休",2018-04-03 11:45:24, linux web 爱专研, 带薪年假 计算机软件 管理规范 定期体检
高级Python研发工程师,3-5年,本科,15k-30k,上海,徐汇区,开发/测试/运维类,后端开发,贝米钱包,上海贝涛金融信息服务有限公司,50-150人,金融,"商业保险,年度旅游,带薪年病假,弹性工作",2018-04-03 10:03:16, 金融 后端开发 MySQL redis 架构, 节日礼物 年底双薪 专项奖金 带薪年假
Python开发工程师,不限,不限,5k-8k,大连,沙河口区,开发/测试/运维类,后端开发,允执科技,大连允执科技有限公司,15-50人,"移动互联网,信息安全","区块链,人工智能",2018-04-03 09:42:01, django, 区块链 人工智能 技术驱动型
python工程师,1-3年,大专,6k-10k,苏州,工业园区,开发/测试/运维类,数据开发,梦嘉信息,苏州梦嘉信息技术有限公司,150-500人,"移动互联网,电子商务","项目奖金,年终奖金,团建福利,生日惊喜",2018-04-02 17:03:44, 数据挖掘 大数据 flask django,
Python工程师,3-5年,本科,10k-20k,厦门,思明区,开发/测试/运维类,后端开发,10com,厦门视我科技有限公司,15-50人,"移动互联网,电子商务","弹性工作,扁平管理,家属福利,五险一金",2018-04-02 16:52:28, 云计算 资深 大数据 Java, 年底双薪 专项奖金 带薪年假 午餐补助
