职位,经验,学历要求,薪酬,所在城市,所在区,工作类型1,工作类型2,公司简称,公司全称,公司规模,行业,福利优势,发布时间,职位TAG,公司TAG
（北京）Python开发工程师,3-5年,本科,15k-30k,北京,海淀区,技术,后端开发,多点Dmall,多点生活（中国）网络科技有限公司,500-2000人,"电子商务,O2O",1亿美金天使轮，互联网创业公司中的富二代,2018-04-02 12:56:41,, 技能培训 年底双薪 节日礼物 绩效奖金
Python,不限,本科,6k-8k,清远,清城区,开发/测试/运维类,后端开发,帕克文化,清远市帕克文化传媒有限公司,少于15人,社交网络 移动互联网,"老板是大牛,包吃,国内外旅游,绩效奖金",2018-03-30 15:18:26, php MySQL 后端," """""
PYTHON研发工程师,3-5年,本科,25k-35k,北京,朝阳区,开发/测试/运维类,数据开发,麦达数字,深圳市麦达数字股份有限公司,500-2000人,"企业服务,数据服务","上市公司,五险一金,薪酬福利好,发展空间大",2018-03-29 14:35:30, 数据分析 数据挖掘 大数据 算法 爬虫, 股票期权 绩效奖金 带薪年假 定期体检
Python工程师-大数据方向,3-5年,本科,15k-30k,北京,海淀区,开发/测试/运维类,后端开发,高思教育集团,北京高思博乐教育科技股份有限公司,2000人以上,"教育,移动互联网","领导好,氛围好,成长快,平台广阔",2018-03-27 15:58:17, Java, 绩效奖金 带薪年假 专项奖金 六险一金
python开发工程师,3-5年,本科,10k-20k,上海,虹口区,技术,运维,通联数据,通联数据股份公司,150-500人,金融,提供午餐晚餐、补充医疗保险、交通通讯补助,2018-03-19 15:39:36, C++ Java 算法, 五险一金 通讯津贴 带薪年假 节日礼物
中级软件工程师（Python）,3-5年,本科,8k-15k,成都,高新区,开发/测试/运维类,后端开发,微银合创,成都微银合创科技有限公司,15-50人,"企业服务,金融","七险一金,团队氛围,年终奖金,成长晋升",2018-04-03 14:27:52, 金融 数据分析 大数据 Java, 专项奖金 带薪年假 绩效奖金 年度旅游
python开发工程师,3-5年,本科,13k-20k,北京,大兴区,开发/测试/运维类,后端开发,黑牛保,无锡信成网络科技有限公司,15-50人,"移动互联网,金融","五险一金,季度奖励,日常福利,领导nic",2018-04-03 09:53:57, linux Java, 扁平管理 弹性工作 绩效奖金 通讯津贴
Python研发中级工程师,3-5年,本科,15k-30k,北京,海淀区,技术,后端开发,掌控,北京掌控世代科技有限公司,15-50人,"移动互联网,电子商务",行业第一 技术导向 大用户 大数据 超强团队,2018-04-03 09:09:18, Java MySQL redis, 带薪年假 定期体检 年度旅游 扁平管理
Python高级研发工程师-度假事业部(J11528),3-5年,本科,20k-40k,北京,海淀区,开发/测试/运维类,软件开发,去哪儿网,北京趣拿软件科技有限公司,2000人以上,移动互联网,团队氛围融洽，帅哥美女多，年假多，年终奖,2018-04-03 08:45:19, 旅游 软件开发 大数据 数据分析 数据挖掘, 技能培训 节日礼物 带薪年假 无息住房贷款
Python高级工程师,1-3年,本科,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,高域海汇,北京高域海汇科技有限公司,50-150人,移动互联网,年底双薪,2018-04-02 16:11:42, 大数据 Java web," """""
Python开发工程师（后端）,1-3年,本科,20k-30k,北京,朝阳区,开发/测试/运维类,后端开发,快爽,北京心跳时空科技有限公司,15-50人,"移动互联网,文化娱乐","大牛坐镇,天花板高,协作效率高,成长力爆炸",2018-04-02 10:44:16, 旅游 后端开发 Java 算法, 五险一金 中二又疯狂 不打卡 高效专注
【5Miles】Python开发工程师,3-5年,本科,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,第三石科技,北京第三石科技发展有限公司,50-150人,"移动互联网,电子商务",浓厚的技术氛围，良好的发展前景，福利多多,2018-04-02 10:02:32, 资深 后端开发 Java MySQL, 股票期权 交通补助 带薪年假 扁平管理
搜狗海外输入法-Python高级开发工程师,3-5年,本科,20k-40k,北京,海淀区,开发/测试/运维类,后端开发,搜狗,北京搜狗科技发展有限公司,2000人以上,"移动互联网,数据服务",快速成长，感受全球氛围,2018-04-02 09:44:03, 大数据 Java, 岗位晋升 扁平管理 管理规范 精英团队
Python 研发工程师,3-5年,本科,25k-45k,北京,海淀区,开发/测试/运维类,后端开发,今日头条,北京字节跳动科技有限公司,2000人以上,"移动互联网,数据服务",六险一金，高薪期权，弹性工作，免费三餐，租房补贴，带薪休假，扁平管理，职业大牛，晋升空间,2018-03-27 09:57:00, 后端开发, 扁平管理 弹性工作 大厨定制三餐 就近租房补贴
运维工程师（python方向）,1-3年,大专,7k-12k,上海,浦东新区,开发/测试/运维类,运维安全,泛微,上海泛微网络科技股份有限公司,2000人以上,"移动互联网,企业服务","半年调薪,三餐福利,专业培训,上市公司",2018-04-03 14:31:08, 信息安全 linux Nginx 系统工程师, 技能培训 带薪年假 绩效奖金 岗位晋升
Python开发工程师,3-5年,本科,15k-30k,深圳,南山区,开发/测试/运维类,后端开发,哈哈便利,武汉市哈哈便利科技有限公司,50-150人,"硬件,移动互联网","创业公司,空间大,氛围好",2018-04-03 13:49:59, 资深 高级 linux C++ qt, 股票期权 年终分红 专项奖金
Python开发工程师,1-3年,本科,6k-10k,佛山,南海区,开发/测试/运维类,软件开发,嘉泰科技,广东嘉泰科技有限公司,15-50人,"移动互联网,数据服务","五险一金,绩效奖金,通讯补贴",2018-03-30 11:18:47, 软件开发 MySQL Git mongodb flask django,
python开发工程师,3-5年,大专,8k-15k,济南,市中区,开发/测试/运维类,软件开发,旭升科技,广州旭升网络计算机科技有限公司,50-150人,"移动互联网,电子商务",好,2018-03-30 10:31:59, 云计算 软件开发 linux Windows 自动化, 年底双薪 通讯津贴 五险一金
Python工程师J10008,不限,本科,20k-30k,北京,东城区,开发/测试/运维类,软件开发,TalkingData,北京腾云天下科技有限公司,500-2000人,移动互联网,"大数据,独角兽,技术成长,行业大牛",2018-03-20 10:44:42, 云计算 软件开发 OpenStack, 精英团队 扁平管理 海量数据 弹性工作
Python（年轻人的狂欢）,1-3年,大专,12k-20k,上海,虹口区,开发/测试/运维类,软件开发,雷速体育,上海炫体信息科技有限公司,50-150人,"移动互联网,社交网络","交通补贴,饭补,旅游,下午茶",2018-04-03 10:03:19, 云计算 软件开发, 节日礼物 年底双薪 专项奖金 带薪年假
后端开发工程师（Python）,1-3年,本科,20k-40k,上海,徐汇区,开发/测试/运维类,后端开发,触宝,上海触乐信息科技有限公司,150-500人,"移动互联网,数据服务","行业独角兽,牛人团队,环境极客,福利待遇佳",2018-04-02 09:51:01, 移动互联网 中级 服务器端 linux 数据库, 管理扁平 发展空间大 行业独角兽 带薪年假病假
Python软件开发工程师,1-3年,本科,15k-22k,上海,长宁区,技术,后端开发,阿基米德fm,阿基米德（上海）传媒有限公司,50-150人,"移动互联网,电子商务",五险一金、补充公积金、13薪、饭贴,2018-03-29 08:51:57, 云计算 linux php Java 解决方案, 年底双薪 带薪年假 绩效奖金 扁平管理
Python开发,3-5年,大专,6K-10K,昆明,呈贡区,开发/测试/运维类,软件开发,花易宝科技,昆明花易宝科技有限公司,15-50人,电子商务、移动互联网,朝阳产业，员工持股,2018-03-21 23:11:57, 软件开发 php 微信,
Python工程师,1-3年,大专,8k-15k,广州,天河区,开发/测试/运维类,后端开发,米多网络,广州米多网络科技有限公司,50-150人,"移动互联网,电子商务","年终奖,周末双休,团队气氛好,晋升空间大",2018-04-03 16:30:08, node.js php, 带薪年假 管理规范 年底双薪 股票期权
高级python开发工程师,3-5年,大专,15k-25k,深圳,福田区,开发/测试/运维类,后端开发,博奥特科技,深圳市博奥特科技有限公司,150-500人,"移动互联网,金融","行业前景好,发展空间大,有“钱”景",2018-04-03 13:53:27, django, 绩效奖金 领导好 帅哥多 美女多
Python开发工程师,5-10年,本科,20k-25k,北京,朝阳区,开发/测试/运维类,后端开发,颉一软件,广州杰颉软件科技有限公司,15-50人,"信息安全,数据服务","发展空间大,工作氛围好,全员持股,管理规范",2018-03-24 11:44:09, 信息安全 linux 大数据 Java MySQL, 股票期权 绩效奖金 带薪年假 弹性工作
Python高级工程师,1-3年,不限,25k-40k,北京,海淀区,开发/测试/运维类,后端开发,中科视拓,中科视拓（北京）科技有限公司,50-150人,企业服务,"五险一金,团建津贴,免费体检,节日礼金",2018-03-19 17:55:20, 大数据, 交通补助 午餐补助 扁平管理 弹性工作
